time_sec
57.37
57.88
58.39
58.9
59.41
59.92
60.42
60.93
61.44
61.95
62.46
62.97
63.48
63.98
64.49
65.51
66.02
66.52
67.04
67.54
68.05
68.56
69.07
69.58
70.08
70.59
71.1
71.61
72.12
72.63
73.14
73.64
75.17
75.68
125.51
126.02
126.53
127.04
127.54
128.05
128.56
129.07
129.57
130.08
130.59
131.1
131.61
132.12
132.63
133.14
133.64
134.15
134.66
135.17
135.68
136.19
136.7
137.2
137.71
138.22
138.73
139.24
139.75
140.25
157.04
157.54
158.05
158.56
159.07
159.58
160.09
160.59
161.1
161.61
162.12
162.63
163.14
163.65
164.15
165.17
165.68
166.19
166.7
167.2
167.71
168.22
168.73
169.24
169.75
170.25
170.76
171.27
171.78
172.29
172.8
173.3
